vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
4173,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4173,Opistophthalmus lornae,South Africa,Northern Cape,Brak Farm,-30.60562,22.099346,2020-01-25,Tippett RM
4180,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4180,Opistophthalmus carinatus,South Africa,Northern Cape,Brak Farm,-30.60303,22.125207,2020-02-04,Tippett RM
4184,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4184,Opistophthalmus carinatus,South Africa,Northern Cape,Brak Farm,-30.58781,22.105713,2020-02-06,Tippett RM
4621,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4621,Opistophthalmus carinatus,South Africa,Northern Cape,Brak Farm,-30.6027,22.126757,2020-10-07,Tippett RM
4719,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4719,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.66355,22.115636,2020-11-09,Tippett RM
4720,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4720,Uroplectes gracilior,South Africa,Northern Cape,Brak Farm,-30.62197,22.117454,2020-11-09,Tippett RM
4721,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4721,Uroplectes gracilior,South Africa,Northern Cape,Louievale Farm,-30.66092,22.127606,2020-11-12,van Dyk Zenobia
4722,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4722,Parabuthus capensis,South Africa,Northern Cape,Louievale Farm,-30.66092,22.127606,2020-11-12,van Dyk Zenobia
4723,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4723,Opistophthalmus crassimanus,South Africa,Northern Cape,Louievale Farm,-30.66092,22.127606,2020-11-12,van Dyk Zenobia
4724,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4724,Uroplectes gracilior,South Africa,Northern Cape,Louievale Farm,-30.66092,22.127606,2020-11-12,van Dyk Zenobia
4725,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4725,Parabuthus schlechteri,South Africa,Northern Cape,Brak farm,-30.62189,22.116606,2020-11-14,van Dyk Zenobia
4726,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4726,Uroplectes gracilior,South Africa,Northern Cape,Brak farm,-30.62189,22.116606,2020-11-14,van Dyk Zenobia
4727,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4727,Parabuthus capensis,South Africa,Northern Cape,Brak farm,-30.62189,22.116606,2020-11-14,van Dyk Zenobia
